Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
Firth,0.6205902014652014,0.16635604342204655,0.3093562390906135,0.0987597384870081,0.18983390774476203,100.0,100,No dominado,14,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.6459335419210419,0.16922365781019008,0.2950318567255949,0.08898435395952163,0.17359524480751778,100.0,100,No dominado,14,0.4666666666666667,1,30,5,0.5,0.0
CART,0.609110147028897,0.15488235804802386,0.36524926731100604,0.10890900560897396,0.2928621631326963,100.0,100,No dominado,14,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.9789215686274509,0.04853474978069332,0.0804514627957914,0.08335720165695262,0.09987696937812458,17.0,17,No dominado,15,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.8709616402116405,0.12478220260681429,0.17520565152577963,0.09426630964470009,0.14110096851715576,100.0,100,Dominado,15,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.8761030423280423,0.10705247499275095,0.16259778879139794,0.07743825145500224,0.11965603983556741,100.0,100,No dominado,15,0.4666666666666667,1,30,5,0.5,0.0
CART,0.7346595238095237,0.16564935083297713,0.26037709435178635,0.12764457736510923,0.2427391102802818,100.0,100,Dominado,15,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.4859089191232049,0.16367818205680676,0.3602990988962852,0.11607265213310877,0.22102472709122475,98.0,98,Dominado,16,0.4,1,30,5,0.5,0.0
Firth,0.4871396352985639,0.16225005638583256,0.3331521563526,0.09946899930462672,0.1876983170555749,100.0,100,No dominado,16,0.4,1,30,5,0.5,0.0
Elastic Net,0.47449389988318563,0.158383254915397,0.31765315781550746,0.07644632858954993,0.16849999898860235,100.0,100,No dominado,16,0.4,1,30,5,0.5,0.0
CART,0.48328184480863046,0.16480442045115082,0.4241527513934851,0.12135946692053685,0.32911362813173306,100.0,100,Dominado,16,0.4,1,30,5,0.5,0.0
Logit,0.6037135426017914,0.17659125243472626,0.3344231037428348,0.12227577095551916,0.212794931442968,93.0,93,No dominado,17,0.5333333333333333,1,30,5,0.5,0.0
Firth,0.6052466501752215,0.17860170357220964,0.3224993551601502,0.12051508193361653,0.19379137455106407,100.0,100,No dominado,17,0.5333333333333333,1,30,5,0.5,0.0
Elastic Net,0.6021110183467328,0.16722310630248274,0.30480216476924527,0.09069471819871969,0.17091917164243428,100.0,100,No dominado,17,0.5333333333333333,1,30,5,0.5,0.0
CART,0.566071073404109,0.19080178714132678,0.3837836423642144,0.14189173117266332,0.3046254161185938,100.0,100,Dominado,17,0.5333333333333333,1,30,5,0.5,0.0
Logit,0.5142895610625203,0.17416077030895394,0.3542613538794083,0.10733529634014603,0.2327869694834197,98.0,98,No dominado,18,0.5666666666666667,1,30,5,0.5,0.0
Firth,0.5198462301587302,0.17565387703648366,0.33113538113521784,0.09322900959645275,0.19907577600351978,100.0,100,No dominado,18,0.5666666666666667,1,30,5,0.5,0.0
